id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
1,2.357492774,male,14.0,new england,43.0,,47.0,31.0,45.0,65.3,very satisfied,strongly agree,disagree,agree,strongly disagree,agree
2,0.9429971097,female,10.0,new england,74.0,22782.5,22.0,32.0,39.0,14.8,,,,,,
3,0.9429971097,male,16.0,new england,42.0,112160.0,61.0,32.0,72.0,83.4,mod. satisfied,strongly agree,disagree,disagree,disagree,disagree
4,0.9429971097,female,16.0,new england,63.0,158201.8412,59.0,,39.0,69.3,very satisfied,agree,disagree,disagree,disagree,neither agree nor disagree
5,0.9429971097,male,18.0,new england,71.0,158201.8412,53.0,35.0,45.0,68.6,,,,,,
6,0.9429971097,female,16.0,new england,67.0,,53.0,33.0,45.0,69.3,,strongly agree,disagree,disagree,disagree,agree
7,0.9429971097,female,13.0,middle atlantic,59.0,13143.75,48.0,44.0,,24.2,very satisfied,,,,,
8,0.4714985548,male,12.0,middle atlantic,43.0,38555.0,35.0,25.0,,23.7,very satisfied,,,,,
9,0.4714985548,female,8.0,middle atlantic,62.0,3855.5,35.0,38.0,45.0,21.8,mod. satisfied,disagree,strongly disagree,disagree,agree,agree
10,0.9429971097,male,12.0,new england,55.0,70100.0,39.0,72.0,44.0,57.1,mod. satisfied,disagree,disagree,disagree,agree,agree
11,0.9429971097,male,19.0,new england,59.0,112160.0,72.0,64.0,46.0,77.4,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,disagree
12,1.17948398,female,14.0,new england,34.0,14896.25,35.0,46.0,,31.6,mod. satisfied,agree,disagree,disagree,disagree,disagree
13,0.4714985548,female,13.0,new england,61.0,16648.75,45.0,31.0,32.0,59.8,,disagree,disagree,disagree,disagree,disagree
14,0.9429971097,male,16.0,middle atlantic,44.0,84120.0,72.0,48.0,26.0,86.6,mod. satisfied,,,,,
